Задача: Транспонировать матрицу (в качестве строк должны быть года) и создать SQL запрос для переноса этой таблицы в базу данных Postgres

	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Астраханская область	68,058	90,690	97,103	118,595	122,580	151,632	163,695	192,636	240,467	275,447	341,599	411,434	437,145	456,117	457,302	945,726	1,162,754
Волгоградская область	124,687	150,520	182,534	233,137	249,079	267,707	300,718	444,776	506,622	531,509	551,922	605,203	634,908	683,965	740,107	764,803	902,160
Ростовская область	189,674	233,955	271,727	344,220	373,816	414,989	462,544	570,448	673,889	772,312	871,159	988,917	1,055,035	1,123,800	1,194,677	1,383,701	1,505,416
г.Севастополь															3,693	15,147	85,596
Северо-Кавказский федеральный округ	347,705	392,059	455,298	521,971	534,020	615,439	665,688	900,254	1,045,238	1,157,648	1,297,501	1,464,076	1,618,730	1,805,125	2,149,483	2,469,563	2,785,275
Республика Дагестан	124,604	134,149	169,596	165,546	165,376	212,898	231,722	291,764	338,573	386,596	437,142	505,316	543,693	609,585	796,758	879,601	1,062,623
Республика Ингушетия	3,498	4,487	6,040	8,431	10,116	12,664	13,160	23,433	22,320	23,870	27,606	26,197	33,842	43,866	49,834	62,600	68,987
Кабардино-Балкарская Республика	35,629	35,549	44,727	52,953	54,219	57,736	58,161	68,726	78,088	85,647	102,013	115,189	122,780	129,728	134,903	146,874	161,009
Карачаево-Черкесская Республика	21,214	25,781	26,185	35,352	35,104	35,970	38,139	46,962	53,250	58,953	59,774	65,011	73,757	85,355	91,949	106,684	119,430
Республика Северная Осетия - Алания	27,657	34,402	38,684	54,014	55,531	58,489	60,793	68,555	69,639	91,713	106,269	103,664	104,680	109,438	103,274	187,401	198,240
Чеченская Республика								85,679	111,527	110,620	130,212	178,287	209,254	273,204	288,350	300,587	326,764
Ставропольский край	135,103	157,691	170,066	205,675	213,674	237,682	263,713	315,135	371,841	400,249	434,485	470,412	530,724	553,949	684,415	785,816	848,222
Приволжский федеральный округ	2,082,777	2,416,459	2,740,667	3,288,068	3,487,897	3,915,402	4,297,846	5,090,448	5,856,603	6,439,488	7,016,266	8,610,699	8,287,412	9,114,595	9,793,415	11,535,949	12,015,901
Республика Башкортостан	259,284	303,580	329,256	382,484	412,945	476,677	553,958	647,945	752,899	837,627	875,589	893,498	886,986	1,045,046	1,116,104	1,208,337	1,378,460
Республика Марий Эл	65,939	50,376	46,593	57,104	57,991	64,011	66,822	80,674	90,078	94,848	102,091	121,977	132,405	149,079	157,055	160,515	181,539
Республика Мордовия	48,528	64,471	71,158	90,275	91,792	103,114	110,711	132,095	171,097	167,412	168,345	185,958	196,879	211,796	234,039	276,475	308,941
Республика Татарстан	304,904	345,324	390,149	508,173	558,915	651,736	654,854	789,810	881,421	997,621	1,145,178	2,162,544	1,399,623	1,511,597	1,555,125	2,007,277	2,131,803
