Задача: Транспонировать матрицу (в качестве строк должны быть года, в качестве столбцов должны быть субъекты) и создать SQL запрос для переноса этой таблицы в базу данных Postgres

	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Республика Калмыкия	24,220	28,812	34,613	40,427	41,465	58,485	61,232	98,472	106,663	114,144	119,600	113,426	113,022	124,357	151,392	175,274	195,857
Республика Крым															1,233,700	2,033,676	2,055,242
Краснодарский край	516,894	576,533	666,157	780,300	896,631	1,079,840	1,114,617	1,385,585	1,645,865	1,870,428	2,139,060	2,471,453	2,821,779	3,639,608	4,208,926	4,770,758	5,481,558
Астраханская область	110,982	158,920	177,818	215,272	230,042	275,408	315,059	367,910	466,376	529,737	623,538	747,640	808,160	850,132	912,745	1,053,750	1,357,230
Волгоградская область	227,818	279,884	360,671	450,274	471,854	540,678	621,663	879,288	1,047,580	1,115,884	1,200,283	1,346,669	1,462,441	1,570,668	1,735,392	1,818,202	2,069,566
Ростовская область	326,991	400,418	477,972	600,908	649,308	746,866	830,392	1,007,353	1,165,933	1,331,221	1,514,042	1,751,414	1,880,446	2,003,572	2,085,372	2,355,619	2,583,782
г.Севастополь															9,193	41,435	274,808
Северо-Кавказский федеральный округ	538,669	624,186	735,870	853,445	902,083	1,053,567	1,139,523	1,573,198	1,824,682	2,058,011	2,317,317	2,637,978	2,933,644	3,272,961	3,601,090	4,032,053	4,515,820
Республика Дагестан	176,853	188,752	228,062	242,053	256,898	312,331	339,844	431,688	525,036	610,455	702,603	821,966	877,939	985,711	1,213,120	1,355,843	1,570,561
Республика Ингушетия	5,739	7,313	9,425	13,783	17,310	24,538	25,310	40,475	38,864	40,638	45,758	40,918	49,517	65,741	73,001	88,438	101,859
Кабардино-Балкарская Республика	51,765	54,237	68,057	79,410	80,069	85,088	90,672	105,499	120,959	135,976	158,744	185,443	202,099	217,265	223,801	240,069	253,447
Карачаево-Черкесская Республика	33,788	41,419	42,799	58,170	60,474	64,592	68,159	91,481	101,153	112,083	116,719	126,319	142,438	158,477	166,250	189,172	198,664
Республика Северная Осетия - Алания	46,347	54,197	65,384	86,484	91,942	96,529	98,675	113,037	119,133	151,730	171,315	182,119	187,258	197,435	204,596	232,170	247,890
Чеченская Республика								185,769	189,968	207,814	231,128	300,776	330,596	404,275	413,687	425,937	468,184
Ставропольский край	224,177	278,268	322,143	373,545	395,390	470,489	516,863	605,249	729,569	799,315	891,050	980,437	1,143,797	1,244,057	1,306,635	1,500,424	1,675,215
Приволжский федеральный округ	3,570,321	4,254,707	5,137,048	6,046,752	6,438,858	7,462,180	8,456,510	10,204,265	11,863,782	13,202,934	14,792,989	17,166,375	17,906,759	19,684,669	20,928,321	23,031,982	25,329,929
Республика Башкортостан	432,691	511,544	581,436	672,147	721,830	868,425	974,675	1,153,973	1,326,927	1,485,177	1,604,725	1,703,359	1,799,031	2,105,770	2,306,755	2,519,215	2,868,186
Республика Марий Эл	102,150	88,632	88,400	103,379	112,068	133,723	141,867	170,447	193,250	204,323	225,000	264,186	286,499	314,647	330,932	358,656	404,552
Республика Мордовия	82,806	105,478	127,103	157,478	158,416	183,836	204,886	261,867	335,090	341,899	353,809	390,900	406,047	433,918	477,197	528,791	599,727
Республика Татарстан	503,844	564,012	681,153	854,943	929,381	1,090,879	1,236,737	1,586,177	1,802,843	2,132,421	2,526,863	3,461,464	3,110,418	3,342,559	3,431,206	3,921,931	4,256,272
Удмуртская Республика	184,560	220,659	254,768	278,761	315,521	368,307	394,881	484,365	553,399	592,068	650,857	753,970	817,042	870,234	974,795	1,040,617	1,169,614
Чувашская Республика	122,892	162,316	177,315	225,632	231,338	253,775	285,864	372,611	422,064	456,144	493,286	561,249	589,437	654,078	664,956	715,778	760,719
Пермский край	350,217	518,656	594,356	683,649	724,508	961,938	1,113,976	1,278,827	1,502,190	1,605,119	1,837,184	2,078,245	2,199,176	2,410,614	2,651,647	2,900,859	3,204,554
Кировская область	157,730	174,541	221,679	260,069	278,400	322,973	354,452	412,082	455,558	487,604	541,725	602,726	639,525	682,835	659,265	712,522	785,413
Нижегородская область	310,779	359,901	477,952	560,961	606,193	688,092	834,981	1,036,892	1,229,632	1,388,587	1,578,659	1,731,930	1,947,537	2,137,855	2,381,528	2,579,755	2,790,966
Оренбургская область	246,421	322,727	391,209	414,641	405,888	480,330	553,402	662,706	808,489	901,995	1,047,515	1,259,018	1,377,934	1,596,988	1,652,428	1,820,589	2,039,846
Пензенская область	135,183	148,470	180,559	228,396	243,758	262,655	315,061	377,811	446,113	533,261	579,673	613,333	669,188	719,888	864,334	970,828	930,071
Самарская область	513,679	584,694	729,525	886,148	966,882	1,056,262	1,154,449	1,333,971	1,528,511	1,652,795	1,775,376	2,005,380	2,173,528	2,342,741	2,522,834	2,735,586	3,012,202
Саратовская область	292,971	330,279	458,337	520,351	532,388	556,180	630,917	764,456	907,459	991,128	1,108,845	1,215,058	1,319,466	1,456,217	1,402,337	1,551,306	1,779,849
Ульяновская область	134,398	162,798	173,256	200,197	212,287	234,805	260,362	308,080	352,257	430,413	469,472	525,557	571,931	616,325	608,107	675,549	727,958
Уральский федеральный округ	2,495,342	3,844,891	5,069,686	5,812,297	6,267,153	7,935,967	9,209,054	10,955,498	13,269,958	14,526,823	16,840,119	19,435,141	22,295,386	23,584,469	26,776,921	28,902,312	33,650,787
Курганская область	105,205	103,644	146,404	177,444	186,289	213,335	242,086	325,899	368,000	416,057	474,482	521,738	574,249	617,452	619,830	650,878	693,563
Свердловская область	607,927	713,797	954,194	1,105,279	1,142,985	1,424,665	1,509,597	1,746,705	2,063,335	2,247,358	2,561,776	3,285,624	3,665,843	3,949,207	4,711,894	5,157,421	6,086,869
Тюменская область	1,350,459	2,575,384	3,416,427	3,780,191	4,125,299	5,405,244	6,462,995	7,581,168	9,357,677	10,315,779	12,115,952	13,758,304	16,041,010	16,856,805	19,036,884	20,471,314	23,947,925
Ханты-Мансийский автономный округ-Югра	865,096	1,300,411	1,765,170	1,969,088	2,203,663	2,903,606	3,346,899	4,007,371	4,852,290	5,423,503	6,382,571	6,888,515	7,953,296	8,618,035	9,546,182	10,275,523	11,654,167
Ямало-Ненецкий автономный округ	298,875	847,866	1,276,960	1,411,989	1,561,226	2,088,400	2,491,843	2,797,387	3,742,708	4,002,082	4,699,979	5,687,176	6,737,214	6,693,967	7,827,582	8,387,662	10,219,150
Тюменская область (кроме Ханты-Мансийского автономного округа - Югры и Ямало-Ненецкого автономного округа)	186,488	427,107	374,297	399,114	360,410	413,238	624,253	776,410	762,679	890,194	1,033,402	1,182,613	1,350,500	1,544,803	1,663,120	1,808,129	2,074,608
Челябинская область	431,751	452,066	552,661	749,383	812,580	892,723	994,376	1,301,726	1,480,946	1,547,629	1,687,909	1,869,475	2,014,284	2,161,005	2,408,313	2,622,699	2,922,430
Сибирский федеральный округ	2,078,674	2,344,690	2,822,299	3,312,484	3,526,974	3,921,133	4,430,357	5,459,758	6,327,314	7,353,070	8,075,537	9,175,485	10,285,322	11,053,635	11,797,945	12,843,237	13,805,339
Республика Алтай	15,372	17,028	17,748	19,576	20,385	22,026	26,506	36,386	40,300	44,595	49,786	61,628	68,340	86,493	99,868	114,087	127,913
Республика Тыва	15,831	16,172	15,984	18,232	18,680	19,490	22,158	27,975	31,718	36,141	39,154	47,409	57,136	64,172	72,925	82,829	91,880
Республика Хакасия	64,529	73,578	87,598	107,799	117,068	120,518	141,252	186,212	225,192	230,085	246,369	292,915	315,069	341,282	378,082	404,095	417,845
Алтайский край	203,441	228,746	256,888	320,439	359,417	382,472	445,470	545,300	615,342	670,720	712,242	757,632	797,922	870,401	907,409	931,166	871,625
Красноярский край	406,756	472,316	585,508	693,145	750,452	823,467	927,280	1,099,859	1,261,951	1,472,018	1,628,414	1,815,754	2,070,838	2,335,977	2,537,118	2,879,635	3,227,379
Иркутская область	366,685	423,047	517,510	576,236	563,456	651,069	674,969	826,755	1,056,433	1,472,728	1,641,443	1,975,486	2,171,210	2,077,218	2,029,855	2,206,258	2,528,848
Кемеровская область - Кузбасс	332,002	363,666	425,676	486,882	530,233	629,492	745,812	924,027	1,058,631	1,152,849	1,259,707	1,406,912	1,635,052	1,900,837	2,106,244	2,250,263	2,404,891
Новосибирская область	320,944	346,811	440,046	511,803	545,077	595,609	682,585	820,667	939,236	1,055,081	1,172,183	1,229,181	1,361,156	1,481,011	1,656,477	1,869,453	1,944,305
Омская область	191,993	213,976	261,674	310,513	326,879	357,195	402,762	503,481	552,613	599,347	652,835	725,451	827,996	909,004	961,850	985,731	1,018,884
Томская область	161,121	189,350	213,667	267,859	295,327	319,795	361,563	489,096	545,898	619,506	673,404	863,117	980,603	987,240	1,048,117	1,119,720	1,171,769
Дальневосточный федеральный округ	1,376,563	1,648,379	1,875,313	2,288,640	2,453,080	2,751,991	3,076,990	3,732,085	4,281,326	5,225,144	5,671,702	7,160,915	8,968,488	9,634,978	10,535,162	12,048,023	13,169,706
Республика Бурятия	107,029	138,679	166,665	188,615	200,509	221,056	206,590	299,067	343,681	375,160	402,856	430,210	485,596	521,445	557,500	565,871	609,133
Республика Саха (Якутия)	227,793	244,550	280,473	357,706	389,591	450,823	506,544	590,058	657,603	733,665	776,760	921,586	1,194,724	1,336,424	1,520,532	1,758,532	2,025,084
Забайкальский край	125,252	171,686	226,267	250,341	260,582	316,690	384,530	454,018	512,955	559,907	592,903	650,405	695,610	753,560	790,099	850,779	923,639
Камчатский край	63,975	65,244	72,382	85,851	94,084	100,939	113,962	158,848	169,981	180,548	194,506	242,183	267,001	296,821	321,916	359,528	500,594
Приморский край	180,681	231,358	294,027	407,011	446,027	457,446	476,660	581,679	634,614	799,882	912,847	1,695,166	2,676,321	2,612,167	2,481,077	2,739,943	3,125,796
Хабаровский край	309,666	379,711	332,389	371,876	395,949	437,286	489,476	596,954	670,723	752,349	809,105	1,041,749	1,203,168	1,353,020	1,358,317	1,458,497	1,589,042
Амурская область	165,136	203,808	254,061	325,363	339,012	384,833	411,171	473,453	493,989	530,204	562,364	623,125	759,529	816,040	830,450	863,641	1,009,163
Магаданская область	48,680	54,817	68,306	78,048	86,131	93,758	100,547	115,027	122,805	136,348	144,914	150,356	174,595	230,924	226,512	240,208	258,861
Сахалинская область	106,273	114,955	130,229	164,880	174,132	207,065	287,633	332,989	522,887	996,746	1,091,696	1,208,172	1,263,901	1,440,706	2,153,134	2,895,401	2,762,977
Еврейская автономная область	23,185	29,938	36,365	42,653	45,180	52,480	72,817	96,110	104,532	97,291	107,363	116,967	158,568	162,408	184,022	199,084	224,027
Чукотский автономный округ	18,893	13,633	14,149	16,296	21,883	29,615	27,060	33,882	47,556	63,044	76,388	80,996	89,475	111,463	111,603	116,539	141,390
ВАЖНО: обратить внимание на то, чтобы на пересечении оставались те же числа, что и в оригинальных данных.
